article_id,article_title,predicted_label,actual_label,confidence,explanation,manual_score
FNSPID_10692,10 Biggest Price Target Changes For Wednesday,neutral,neutral,0.3499,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""10 Biggest Price Target Changes For Wednesday"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_02641,Commentary: CSX Beta Test Trip Plans Score Card Introduced,neutral,neutral,0.3677,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Commentary: CSX Beta Test Trip Plans Score Card Introduced"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_09776,"SunTrust Robinson Humphrey Initiates Coverage On Occidental Petroleum with Hold Rating, Announces $48 Price Target",neutral,neutral,0.3553,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""SunTrust Robinson Humphrey Initiates Coverage On Occidental Petroleum with Hold Rating, Announces $48 Price Target"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_07227,"'Fast Money Halftime Report' Traders Advise Viewers On Microsoft, Apple And More",up,down,0.362,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""'Fast Money Halftime Report' Traders Advise Viewers On Microsoft, Apple And More"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_09728,Portfolio Manager Cole Smead Says Warren Buffett Is Watching Walgreens,up,neutral,0.3531,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Portfolio Manager Cole Smead Says Warren Buffett Is Watching Walgreens"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_07208,Home Depot Lowers Sales Forecast For The Remainder Of 2019,neutral,down,0.3436,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Home Depot Lowers Sales Forecast For The Remainder Of 2019"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_02160,A Peek Into The Markets: US Stock Futures Up; Crude Oil Falls Over 1%,up,neutral,0.3961,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""A Peek Into The Markets: US Stock Futures Up; Crude Oil Falls Over 1%"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_09216,Stocks That Hit 52-Week Highs On Monday,up,up,0.3546,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Stocks That Hit 52-Week Highs On Monday"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_05636,Here's Every Major Retailer's Black Friday Weekend Shopping Hours,neutral,up,0.4413,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Here's Every Major Retailer's Black Friday Weekend Shopping Hours"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_04684,"Benzinga's Top Upgrades, Downgrades For December 24, 2019",up,up,0.3902,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Benzinga's Top Upgrades, Downgrades For December 24, 2019"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_04896,"UPDATE: FedEx Reports Average 4.9% Price Increase For US Domestic, US Export/Import Via FedEx Express, FedEx Ground, FedEx Home Delivery",up,neutral,0.417,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""UPDATE: FedEx Reports Average 4.9% Price Increase For US Domestic, US Export/Import Via FedEx Express, FedEx Ground, FedEx Home Delivery"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00113,American Eagle Outfitters shares are trading lower on seemingly no company-specific news. The stock touched the $18 resistance level and couldn't break it.,up,down,0.3659,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""American Eagle Outfitters shares are trading lower on seemingly no company-specific news. The stock touched the $18 resistance level and couldn't break it."" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_10707,"Shares of several healthcare companies are trading lower, potentially on recent Democratic primary polls showing Senator Elizabeth Warren in the lead.",down,down,0.3906,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Shares of several healthcare companies are trading lower, potentially on recent Democratic primary polls showing Senator Elizabeth Warren in the lead."" reads as a down signal for the stock, which is consistent with a downward next-day move.",
FNSPID_03609,Japan To Fund $10B Into Liquefied Nat Gas,up,neutral,0.3662,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Japan To Fund $10B Into Liquefied Nat Gas"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_03604,FBN's Edward Lawrence Says Two Japanese Reporters Were Told By Japan's Minister Of Foreign Affairs That US-Japan Trade Deal Is Done And Will Be Released Tomorrow,up,neutral,0.3932,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""FBN's Edward Lawrence Says Two Japanese Reporters Were Told By Japan's Minister Of Foreign Affairs That US-Japan Trade Deal Is Done And Will Be Released Tomorrow"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_09142,"'Fast Money Halftime Report' Traders Weigh In On Adobe, Shake Shack And More",up,down,0.3777,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""'Fast Money Halftime Report' Traders Weigh In On Adobe, Shake Shack And More"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_09178,Medtronic Announces Early Feasibility Trial For Intrepid Transcatheter Mitral Valve Replacement System With Transfemoral Transseptal Approach,up,up,0.3527,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Medtronic Announces Early Feasibility Trial For Intrepid Transcatheter Mitral Valve Replacement System With Transfemoral Transseptal Approach"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_13162,Tyson To Prohibit Ractopamine Use In Pork,up,up,0.3673,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Tyson To Prohibit Ractopamine Use In Pork"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_03158,"UPDATE: Barclays Downgrades EA To Equal Weight Notes 'After a string of disappointing results from the last Star Wars title, Battlefield V, and Anthem, we think investors will need to see a couple of successful title releases before EA's multiple reverts'",up,up,0.419,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""UPDATE: Barclays Downgrades EA To Equal Weight Notes 'After a string of disappointing results from the last Star Wars title, Battlefield V, and Anthem, we think investors will need to see a couple of successful title releases before EA's multiple reverts'"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_04869,4 Industrials Stocks Moving In Wednesday's Pre-Market Session,up,up,0.4373,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""4 Industrials Stocks Moving In Wednesday's Pre-Market Session"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_12113,Cannabis Stocks Up In Smoke After Hexo Withdraws 2020 Guidance,up,neutral,0.3789,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Cannabis Stocks Up In Smoke After Hexo Withdraws 2020 Guidance"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_05484,"The Daily Biotech Pulse: NewLink Genetics Licenses Ovarian Cancer Dug, Correvio Awaits FDA Verdict",neutral,neutral,0.3938,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""The Daily Biotech Pulse: NewLink Genetics Licenses Ovarian Cancer Dug, Correvio Awaits FDA Verdict"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_10695,Regeneron Pharmaceuticals Says In Sept. Received A Civil Investigative Demand From The DOJ Pursuant To The Federal False Claims Act,up,down,0.3797,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Regeneron Pharmaceuticals Says In Sept. Received A Civil Investigative Demand From The DOJ Pursuant To The Federal False Claims Act"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_04156,Shares of several basic material companies are trading higher on renewed trade optimism. White House Economic Advisor Larry Kudlow said the December tariffs could be removed if U.S.-China trade talks go well.,up,up,0.3988,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Shares of several basic material companies are trading higher on renewed trade optimism. White House Economic Advisor Larry Kudlow said the December tariffs could be removed if U.S.-China trade talks go well."" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_07291,"Wedbush Maintains Neutral on Home Depot, Raises Price Target to $230",up,neutral,0.3537,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Wedbush Maintains Neutral on Home Depot, Raises Price Target to $230"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00728,"Shares of companies in the semiconductor space are trading higher in sympathy with NVIDIA, which reported better-than-expected Q2 results.",up,up,0.3891,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Shares of companies in the semiconductor space are trading higher in sympathy with NVIDIA, which reported better-than-expected Q2 results."" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_09163,The Week Ahead In Biotech: Clinical Readouts In Focus As Earnings Wind Down,up,neutral,0.3658,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""The Week Ahead In Biotech: Clinical Readouts In Focus As Earnings Wind Down"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_07237,Edward Jones Downgrades Home Depot to Hold,neutral,neutral,0.3484,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Edward Jones Downgrades Home Depot to Hold"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_09777,Shares of several oil & gas companies are trading lower after Saudi Arabia announced it is close to restoring 70% of the 5.7 million BPD of oil output loss and will be back at normal levels in a matter of weeks. NOTE: The return of output to normal levels was initially expected to take months.,up,down,0.3816,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Shares of several oil & gas companies are trading lower after Saudi Arabia announced it is close to restoring 70% of the 5.7 million BPD of oil output loss and will be back at normal levels in a matter of weeks. NOTE: The return of output to normal levels was initially expected to take months."" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_11185,10 Biggest Price Target Changes For Monday,up,up,0.351,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""10 Biggest Price Target Changes For Monday"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_08740,"The Daily Biotech Pulse: Therapix Extends Merger Deadline, Five Prime Restructures, Gilead-Galapagos Rheumatism Drug Readout",neutral,neutral,0.404,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""The Daily Biotech Pulse: Therapix Extends Merger Deadline, Five Prime Restructures, Gilead-Galapagos Rheumatism Drug Readout"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_00671,EU Antitrust Head Vestager to Hold News Conference Expected to Focus on Broadcom,up,neutral,0.3757,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""EU Antitrust Head Vestager to Hold News Conference Expected to Focus on Broadcom"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_01625,Shares of several banks and broader financial companies are trading higher after interest rates increased.,up,neutral,0.3906,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Shares of several banks and broader financial companies are trading higher after interest rates increased."" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_12664,"8 Stocks To Watch For August 20, 2019",up,up,0.4165,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""8 Stocks To Watch For August 20, 2019"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_06702,From Halliburton Q3 Earnings Conference Call: Will Keep Cutting Costs In North American Operations,up,up,0.3952,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""From Halliburton Q3 Earnings Conference Call: Will Keep Cutting Costs In North American Operations"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_10128,"Petrobras Will Announce Non-Binding Phase For Sale Of Reman, Lubnor Refineries, Xisto Unit In Coming Weeks",up,down,0.3843,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Petrobras Will Announce Non-Binding Phase For Sale Of Reman, Lubnor Refineries, Xisto Unit In Coming Weeks"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_04130,Freeport-McMoRan shares are trading higher as positive US-China trade comments and falling inventories push copper prices higher.,up,neutral,0.4095,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Freeport-McMoRan shares are trading higher as positive US-China trade comments and falling inventories push copper prices higher."" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_04153,"BMO Capital Maintains Market Perform on Freeport-McMoRan, Raises Price Target to $12",up,up,0.3889,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""BMO Capital Maintains Market Perform on Freeport-McMoRan, Raises Price Target to $12"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_06105,"10 Stocks To Watch For November 5, 2019",up,down,0.399,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""10 Stocks To Watch For November 5, 2019"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_09160,"Medtronic Q2 Adj. EPS $1.31 Beats $1.28 Estimate, Sales $7.706B Beat $7.66B Estimate",up,neutral,0.4325,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Medtronic Q2 Adj. EPS $1.31 Beats $1.28 Estimate, Sales $7.706B Beat $7.66B Estimate"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_08215,Kohl's Reaffirms FY19 EPS Guidance Of $5.15-$5.45 vs $5.23 Est.,up,up,0.4258,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Kohl's Reaffirms FY19 EPS Guidance Of $5.15-$5.45 vs $5.23 Est."" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_04832,8 Latest Short Seller Targets,neutral,down,0.3495,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""8 Latest Short Seller Targets"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_11207,Fluid Delivery Announces David Christmas CEO,neutral,down,0.3796,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Fluid Delivery Announces David Christmas CEO"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_01175,Getting Active With A Financial Services ETF,neutral,down,0.3643,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Getting Active With A Financial Services ETF"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_14122,"With China Trade Back In Focus, Strong Earnings From Apple, Facebook Blunt The Blow",up,neutral,0.3857,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""With China Trade Back In Focus, Strong Earnings From Apple, Facebook Blunt The Blow"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_07680,Kroger Reports Q2 Earnings Beat,up,up,0.3623,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Kroger Reports Q2 Earnings Beat"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_03148,From EA Earnings Conference Call: Will Not Ship NBA Live Game In FY20,up,up,0.3773,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""From EA Earnings Conference Call: Will Not Ship NBA Live Game In FY20"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_12651,Stocks That Hit 52-Week Highs On Thursday,up,neutral,0.3571,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Stocks That Hit 52-Week Highs On Thursday"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_04162,Shares of several basic material companies are trading higher after President Trump made positive remarks on the U.S.-China trade talks as traders grew more optimistic over the possibility of a limited trade deal. Trump is scheduled to meet with Chinese Vice Premier Liu He at the White House today.,up,neutral,0.3818,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Shares of several basic material companies are trading higher after President Trump made positive remarks on the U.S.-China trade talks as traders grew more optimistic over the possibility of a limited trade deal. Trump is scheduled to meet with Chinese Vice Premier Liu He at the White House today."" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00656,"Morgan Stanley Upgrades Broadcom to Overweight, Raises Price Target to $367",up,down,0.3638,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Morgan Stanley Upgrades Broadcom to Overweight, Raises Price Target to $367"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_04149,Shares of most major miners trading higher with the broader stock market following mixed manufacturing data around the globe but much better-than-expected jobs data out of the US.,up,up,0.3944,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Shares of most major miners trading higher with the broader stock market following mixed manufacturing data around the globe but much better-than-expected jobs data out of the US."" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_01158,American Express Trades Higher On Q3 Earnings Beat,up,up,0.3916,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""American Express Trades Higher On Q3 Earnings Beat"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_07191,"Morgan Stanley Maintains Overweight on Home Depot, Lowers Price Target to $235",up,up,0.3552,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Morgan Stanley Maintains Overweight on Home Depot, Lowers Price Target to $235"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_06734,"Wells Fargo Maintains Outperform on Halliburton, Lowers Price Target to $26",up,up,0.3542,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Wells Fargo Maintains Outperform on Halliburton, Lowers Price Target to $26"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_08756,CHMP Issues Positive Opinion To Expand Lilly's Trulicity Label To Include Results From REWIND Cardiovascular Outcomes Trial,up,down,0.3751,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""CHMP Issues Positive Opinion To Expand Lilly's Trulicity Label To Include Results From REWIND Cardiovascular Outcomes Trial"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_06689,"Cowen & Co. Maintains Outperform on Halliburton, Lowers Price Target to $27",up,up,0.3549,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Cowen & Co. Maintains Outperform on Halliburton, Lowers Price Target to $27"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_07219,28 Stocks Moving in Tuesday's Pre-Market Session,up,down,0.4467,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""28 Stocks Moving in Tuesday's Pre-Market Session"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_14679,Western Digital shares trading lower in sympathy with overall market weakness. The stock broke below the $60 level yesterday.,up,up,0.3754,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Western Digital shares trading lower in sympathy with overall market weakness. The stock broke below the $60 level yesterday."" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_13185,"Pilgrim's Pride Shares Down 1% After Hours, Potentially In Sympathy With Tyson Following Warning",up,down,0.3961,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Pilgrim's Pride Shares Down 1% After Hours, Potentially In Sympathy With Tyson Following Warning"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_13171,"Barron's Picks And Pans: Activision, AT&T, Boeing, Ford, Nike, Square And More",neutral,down,0.4001,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Barron's Picks And Pans: Activision, AT&T, Boeing, Ford, Nike, Square And More"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_02611,Commentary: The Good And Bad Of Precision Scheduled Railroading,neutral,up,0.4094,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Commentary: The Good And Bad Of Precision Scheduled Railroading"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_07283,"Home Depot Core Strength Goes On Despite Cheaper Lumber, Bad Weather And China",up,neutral,0.3557,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Home Depot Core Strength Goes On Despite Cheaper Lumber, Bad Weather And China"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_04739,"Earnings Scheduled For December 17, 2019",down,down,0.4456,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Earnings Scheduled For December 17, 2019"" reads as a down signal for the stock, which is consistent with a downward next-day move.",
FNSPID_10669,Evercore ISI Group Downgrades Regeneron Pharmaceuticals to In-Line,up,down,0.3721,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Evercore ISI Group Downgrades Regeneron Pharmaceuticals to In-Line"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00633,"Broadcom Sees FY20 Sales $24.5B-$25.5B vs $23.79B Estimate, Adj. EBITDA $13.76B +/- $250M",up,down,0.4468,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Broadcom Sees FY20 Sales $24.5B-$25.5B vs $23.79B Estimate, Adj. EBITDA $13.76B +/- $250M"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_14177,"UBS Maintains Sell on Texas Instruments, Raises Price Target to $100",up,down,0.3716,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""UBS Maintains Sell on Texas Instruments, Raises Price Target to $100"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_05663,GameStop shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results.,down,down,0.3869,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""GameStop shares are trading lower after the company reported worse-than-expected Q2 EPS and sales results."" reads as a down signal for the stock, which is consistent with a downward next-day move.",
