article_id,date,ticker,article_title,price_t,price_t1,pct_change,label,predicted_label,confidence,explanation,manual_score
FNSPID_00110,2019-09-18,AEO,"UPDATE: DA Davidson Initiates American Eagle With Buy, $21 Target As Firm Notes Co. 'is rising above their rivals with their on-point messaging, which is solidifying their market-share gains and helps to dominate in the denim and intimates categories'",14.05,13.99,-0.4194,neutral,up,0.4264,,
FNSPID_00111,2019-09-18,AEO,"Benzinga's Top Upgrades, Downgrades For September 18, 2019",14.05,13.99,-0.4194,neutral,up,0.3878,,
FNSPID_00112,2019-09-18,AEO,"DA Davidson Initiates Coverage On American Eagle Outfitters with Buy Rating, Announces $21 Price Target",14.05,13.99,-0.4194,neutral,up,0.3711,,
FNSPID_00113,2019-09-16,AEO,American Eagle Outfitters shares are trading lower on seemingly no company-specific news. The stock touched the $18 resistance level and couldn't break it.,14.31,13.93,-2.6471,down,up,0.3659,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""American Eagle Outfitters shares are trading lower on seemingly no company-specific news. The stock touched the $18 resistance level and couldn't break it."" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00114,2019-09-06,AEO,86 Biggest Movers From Yesterday,13.47,14.25,5.75,up,up,0.3883,,
FNSPID_00115,2019-09-05,AEO,"American Eagle Outfitters shares trading higher, rebounding following a sell off Wednesday amid better-than-expected Q2 results but weak Q3 guidance. Retail stocks are outperforming the broader stock market sharply today.",13.71,13.47,-1.7199,down,up,0.4179,,
FNSPID_00116,2019-09-05,AEO,"A Look At Benzinga Pro's Most-Searched Tickers For September 5, 2019",13.71,13.47,-1.7199,down,neutral,0.383,,
FNSPID_00117,2019-09-05,AEO,"Top 10 Movers With Volume Over 1M Via Benzinga Pro's Screener Tool For Morning of Thursday., Sept. 05, 2019",13.71,13.47,-1.7199,down,up,0.4023,,
FNSPID_00118,2019-09-05,AEO,"Benzinga Pro's Top 10 Most-Searched Tickers For Morning of Thursday., Sept. 05, 2019",13.71,13.47,-1.7199,down,up,0.3802,,
FNSPID_00119,2019-09-05,AEO,"Morgan Stanley Maintains Underweight on American Eagle Outfitters, Lowers Price Target to $14",13.71,13.47,-1.7199,down,up,0.373,,
FNSPID_00120,2019-09-05,AEO,"Cowen & Co. Maintains Outperform on American Eagle Outfitters, Raises Price Target to $25",13.71,13.47,-1.7199,down,up,0.3682,,
FNSPID_00121,2019-09-05,AEO,"Citigroup Maintains Buy on American Eagle Outfitters, Lowers Price Target to $20",13.71,13.47,-1.7199,down,up,0.3667,,
FNSPID_00122,2019-09-05,AEO,60 Biggest Movers From Yesterday,13.71,13.47,-1.7199,down,up,0.3701,,
FNSPID_00134,2019-09-03,AEO,Shares of several apparel stores and retail companies are trading lower as the previously announced 15% tariff on $112 billion worth of Chinese goods took effect on Sunday. Retail companies are heavily impacted as many of the products come from China.,13.7,12.11,-11.6165,down,down,0.4127,,
FNSPID_00135,2019-09-03,AEO,A Preview Of American Eagle Outfitters Q2 Earnings,13.7,12.11,-11.6165,down,neutral,0.3576,,
FNSPID_00136,2019-08-29,AEO,CFRA: 3 Reasons To Remain Cautious On Guess Following 20% Earnings Pop,14.27,14.16,-0.767,neutral,up,0.4193,,
FNSPID_00137,2019-08-26,AEO,The Most Actively Traded Stocks On OTC Markets In July,13.67,13.63,-0.2464,neutral,up,0.3718,,
FNSPID_00138,2019-08-23,AEO,Shares of several retail companies are trading lower on escalated trade tensions after China announced it plans to impose a 5% to 10% tariff rate on $75 billion worth of U.S. goods. Trump announced he will respond to China's tariffs this afternoon.,13.55,13.67,0.8701,neutral,up,0.3712,,
FNSPID_00139,2019-08-22,AEO,American Eagle Outfitters Option Alert: Sep 6 $18 Calls at the Ask: 1500 @ $0.551 vs 287 OI; Earnings 8/28 Before Open [est] Ref=$16.875,14.22,13.55,-4.7365,down,up,0.4173,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""American Eagle Outfitters Option Alert: Sep 6 $18 Calls at the Ask: 1500 @ $0.551 vs 287 OI; Earnings 8/28 Before Open [est] Ref=$16.875"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00140,2019-08-22,AEO,Shares of several retail companies are trading higher after many retailers reported positive earnings throughout the week.,14.22,13.55,-4.7365,down,up,0.4073,,
FNSPID_00141,2019-08-22,AEO,American Eagle Outfitters Option Alert: Sep 6 $17 Calls at the Ask: 2699 @ $0.75 vs 36 OI; Earnings 8/28 Before Open [est] Ref=$16.55,14.22,13.55,-4.7365,down,up,0.4232,,
FNSPID_00142,2019-08-22,AEO,American Eagle Outfitters Option Alert: Sep 20 $16 Calls Sweep (57) near the Ask: 1460 @ $1.399 vs 706 OI; Earnings 8/28 Before Open [est] Ref=$16.5381,14.22,13.55,-4.7365,down,up,0.4191,,
FNSPID_00143,2019-08-21,AEO,Shares of several retail companies are trading higher in sympathy with Target after the company reported better-than-expected Q2 EPS and sales and raised FY19 guidance.,13.63,14.22,4.3236,up,up,0.4133,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Shares of several retail companies are trading higher in sympathy with Target after the company reported better-than-expected Q2 EPS and sales and raised FY19 guidance."" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00144,2019-08-17,AEO,"Barron's Picks And Pans: American Eagle Outfitters, Chevron, Grocery Outlet And More",13.39,13.34,-0.3774,neutral,neutral,0.3857,,
FNSPID_00610,2019-12-31,AVGO,10 Best Performing S&P 500 Stocks Of The Decade,27.09,27.63,2.0157,up,neutral,0.3472,,
FNSPID_00611,2019-12-28,AVGO,"Barron's Picks And Pans: Applied Materials, Boeing, Travelers And More",26.87,27.09,0.8167,neutral,neutral,0.3935,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Barron's Picks And Pans: Applied Materials, Boeing, Travelers And More"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_00612,2019-12-26,AVGO,Top 3 S&P 500 Equities Are All Chip Stocks,27.26,27.13,-0.456,neutral,up,0.3574,,
FNSPID_00613,2019-12-21,AVGO,"Barron's Picks And Pans: Alibaba, Biogen, China Mobile, Peter Lynch Picks And More",27.39,27.47,0.3036,neutral,neutral,0.3733,,
FNSPID_00614,2019-12-19,AVGO,"Why Broadcom's Rumored RF Exit Is Good News For Skyworks, Qorvo",27.5,27.34,-0.5766,neutral,up,0.369,,
FNSPID_00615,2019-12-18,AVGO,Broadcom Option Alert: Jun 19 $350 Calls Sweep (2) near the Ask: 500 @ $14.401 vs 1212 OI; Ref=$326.24,27.79,27.5,-1.0201,down,up,0.412,,
FNSPID_00616,2019-12-18,AVGO,UPDATE: Broadcom's RF Wireless Chip Unit Could Be Worth $10B,27.79,27.5,-1.0201,down,up,0.372,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""UPDATE: Broadcom's RF Wireless Chip Unit Could Be Worth $10B"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00617,2019-12-18,AVGO,"Broadcom Shares Volatile, Spike 0.2% Amid Report Co. Is Seeking A Buyer For Its RF Wireless-Chip Unit",27.79,27.5,-1.0201,down,up,0.4055,,
FNSPID_00618,2019-12-16,AVGO,"Broadcom shares are trading higher after Citigroup analysts reiterated a Buy rating on the stock and raised the price target, citing 'attractive' valuation and 5G exposure.",27.42,27.48,0.2074,neutral,up,0.4186,,
FNSPID_00619,2019-12-16,AVGO,"Not Over Yet: Twists And Turns Still Ahead Including Nike Earnings, Quadruple Witching",27.42,27.48,0.2074,neutral,up,0.3788,,
FNSPID_00620,2019-12-16,AVGO,"Citigroup Maintains Buy on Broadcom, Raises Price Target to $378",27.42,27.48,0.2074,neutral,up,0.3703,,
FNSPID_00621,2019-12-13,AVGO,"Morgan Stanley On Broadcom Also Notes 'This, combined with an undemanding valuation and a 4% dividend yield, presents a stock that should find its way into more portfolios'",26.77,27.42,2.4444,up,up,0.4081,,
FNSPID_00622,2019-12-13,AVGO,"Morgan Stanley Reiterates Overweight, $367 Target On Broadcom Notes 'We think the company framed FY20 guidance well. Importantly, relative to a year ago we now see more of an upward bias to initial guidance'",26.77,27.42,2.4444,up,up,0.4511,,
FNSPID_00623,2019-12-13,AVGO,Broadcom shares are trading lower after the company announced on its conference call it expects a sales decline for its mixed-signal chip business in FY20.,26.77,27.42,2.4444,up,down,0.4551,,
FNSPID_00624,2019-12-13,AVGO,"BMO Capital Maintains Market Perform on Broadcom, Raises Price Target to $330",26.77,27.42,2.4444,up,up,0.3796,,
FNSPID_00625,2019-12-13,AVGO,10 Biggest Price Target Changes For Friday,26.77,27.42,2.4444,up,up,0.3534,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""10 Biggest Price Target Changes For Friday"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00626,2019-12-13,AVGO,"Mizuho Reiterates Buy on Broadcom, Raises Price Target to $365",26.77,27.42,2.4444,up,up,0.3675,,
FNSPID_00627,2019-12-13,AVGO,"Wells Fargo Maintains Equal-Weight on Broadcom, Raises Price Target to $330",26.77,27.42,2.4444,up,up,0.3576,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Wells Fargo Maintains Equal-Weight on Broadcom, Raises Price Target to $330"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00628,2019-12-13,AVGO,"KeyBanc Maintains Overweight on Broadcom, Raises Price Target to $360",26.77,27.42,2.4444,up,up,0.3798,,
FNSPID_00629,2019-12-13,AVGO,"5 Stocks To Watch For December 13, 2019",26.77,27.42,2.4444,up,up,0.4164,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""5 Stocks To Watch For December 13, 2019"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00630,2019-12-12,AVGO,Broadcom On Conference Call Says Plans To Pay Down $4B In Debt In FY20,27.82,26.77,-3.7767,down,up,0.3898,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Broadcom On Conference Call Says Plans To Pay Down $4B In Debt In FY20"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00631,2019-12-12,AVGO,Broadcom shares are trading higher after the company reported better-than-expected Q4 EPS and sales results. The company also issued FY20 sales guidance above analyst estimates.,27.82,26.77,-3.7767,down,up,0.4136,,
FNSPID_00632,2019-12-12,AVGO,Broadcom Raises Qtr. Dividend From $2.65 To $3.25/Share,27.82,26.77,-3.7767,down,up,0.395,,
FNSPID_00633,2019-12-12,AVGO,"Broadcom Sees FY20 Sales $24.5B-$25.5B vs $23.79B Estimate, Adj. EBITDA $13.76B +/- $250M",27.82,26.77,-3.7767,down,up,0.4468,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Broadcom Sees FY20 Sales $24.5B-$25.5B vs $23.79B Estimate, Adj. EBITDA $13.76B +/- $250M"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00634,2019-12-12,AVGO,"Broadcom Q4 Adj. EPS $5.39 Beats $5.36 Estimate, Sales $5.766B Beat $5.73B Estimate",27.82,26.77,-3.7767,down,up,0.4361,,
FNSPID_00635,2019-12-12,AVGO,Stocks That Hit 52-Week Highs On Thursday,27.82,26.77,-3.7767,down,up,0.3571,,
FNSPID_00636,2019-12-12,AVGO,Shares of semiconductor companies are trading higher after President Trump tweeted the US and China are 'getting very close to a big deal.',27.82,26.77,-3.7767,down,up,0.3842,,
FNSPID_00637,2019-12-12,AVGO,"Geopolitical Jumble: UK Election Results, US Tariff Decision, Front And Center",27.82,26.77,-3.7767,down,up,0.3667,,
FNSPID_00638,2019-12-12,AVGO,Preview: Broadcom's Q4 Earnings,27.82,26.77,-3.7767,down,up,0.3562,,
FNSPID_00639,2019-12-12,AVGO,"8 Stocks To Watch For December 12, 2019",27.82,26.77,-3.7767,down,up,0.4176,,
FNSPID_00640,2019-12-12,AVGO,"Earnings Scheduled For December 12, 2019",27.82,26.77,-3.7767,down,down,0.4449,,
FNSPID_00641,2019-12-11,AVGO,5G Stocks Are Heating Up Ahead Of Tariff Deadline,27.13,27.82,2.5272,up,up,0.4095,,
FNSPID_00642,2019-12-11,AVGO,"Oppenheimer Maintains Outperform on Broadcom, Raises Price Target to $350",27.13,27.82,2.5272,up,neutral,0.3472,,
FNSPID_00643,2019-12-10,AVGO,"PiperJaffray Maintains Overweight on Broadcom, Raises Price Target to $345",26.73,27.13,1.4791,up,up,0.3656,,
FNSPID_00644,2019-12-09,AVGO,"UPDATE: Bank Of America On US Semiconductors Notes 'Radio Frequency (RF) chips will bea critical enabling technology to help monetize expensive spectrum and enhance battery life'; 'In our view the top 3 US vendors – AVGO, QRVO, SWKS –dominate RF' Tech",26.68,26.73,0.2163,neutral,up,0.416,,
FNSPID_00645,2019-12-09,AVGO,UPDATE: Bank Of America On US Semiconductors Notes 5G Growth Will Be 'driven by the exponential growth in components required to upgrade ~1.4bn 4G smartphones and several hundred million IoT devices',26.68,26.73,0.2163,neutral,up,0.4288,,
FNSPID_00646,2019-12-09,AVGO,"UPDATE: Bank Of America Upgrades Skyworks And Qorvo To Buy, Notes '5G could prove to be one of the more compelling and investable themes in semis'",26.68,26.73,0.2163,neutral,up,0.4141,,
FNSPID_00647,2019-11-26,AVGO,'Fast Money Halftime Report' Picks For November 26,26.84,27.02,0.6861,neutral,neutral,0.3662,,
FNSPID_00648,2019-11-22,AVGO,10 Biggest Price Target Changes For Friday,26.72,27.12,1.4924,up,up,0.3534,,
FNSPID_00649,2019-11-22,AVGO,"Cascend Reiterates Buy on Broadcom, Raises Price Target to $350",26.72,27.12,1.4924,up,up,0.3694,,
FNSPID_00650,2019-11-19,AVGO,"UPDATE: Morgan Stanley Upgrades Broadcom To Overweight, Raises Target To $367 Notes Co. 'is priced for risks associated with the Symantec deal; we see possible value creation as it extends into software and builds on a current strong position in semis'",26.96,26.45,-1.898,down,up,0.4388,,
FNSPID_00651,2019-11-19,AVGO,Stocks That Hit 52-Week Highs On Tuesday,26.96,26.45,-1.898,down,up,0.355,,
FNSPID_00652,2019-11-19,AVGO,"Benzinga's Top Upgrades, Downgrades For November 19, 2019",26.96,26.45,-1.898,down,up,0.3912,,
FNSPID_00653,2019-11-19,AVGO,Broadcom shares are trading higher after Morgan Stanley upgraded the company's stock from Equal-Weight to Overweight and raised the price target from $298 to $367.,26.96,26.45,-1.898,down,up,0.4106,,
FNSPID_00654,2019-11-19,AVGO,10 Biggest Price Target Changes For Tuesday,26.96,26.45,-1.898,down,up,0.3518,,
FNSPID_00655,2019-11-19,AVGO,A Peek Into The Markets: US Stock Futures Rise; Home Depot Sales Miss Views,26.96,26.45,-1.898,down,up,0.3789,,
FNSPID_00656,2019-11-19,AVGO,"Morgan Stanley Upgrades Broadcom to Overweight, Raises Price Target to $367",26.96,26.45,-1.898,down,up,0.3638,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Morgan Stanley Upgrades Broadcom to Overweight, Raises Price Target to $367"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00657,2019-11-14,AVGO,Appaloosa 13F Shows New 275K Share Stake In Broadcom,26.22,26.55,1.2752,up,up,0.3832,,
FNSPID_00658,2019-11-11,AVGO,10 Biggest Price Target Changes For Monday,26.54,26.77,0.8889,neutral,up,0.351,,
FNSPID_00659,2019-11-11,AVGO,"Morgan Stanley Maintains Equal-Weight on Broadcom, Raises Price Target to $298",26.54,26.77,0.8889,neutral,up,0.3584,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Morgan Stanley Maintains Equal-Weight on Broadcom, Raises Price Target to $298"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00660,2019-11-05,AVGO,Broadcom shares are trading higher after the company reported it is expanding its collaboration with Infosys. The company was also upgraded by UBS from Neutral to Buy and raised its price target was raised from $23 to $27.,26.65,26.57,-0.2802,neutral,up,0.4102,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Broadcom shares are trading higher after the company reported it is expanding its collaboration with Infosys. The company was also upgraded by UBS from Neutral to Buy and raised its price target was raised from $23 to $27."" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00661,2019-11-05,AVGO,"UBS Upgrades Symantec, Says RemainCo Consumer Franchise Seems Undervalued",26.65,26.57,-0.2802,neutral,up,0.3913,,
FNSPID_00662,2019-11-05,AVGO,"Broadcom Reports Expansion Of Collaboration With Infosys To Help SAP Customers Mitigate Risks, Costs Associated With Upgrade To Next-Gen ERP App, S/4HANA, No Terms Disclosed",26.65,26.57,-0.2802,neutral,up,0.3905,,
FNSPID_00663,2019-11-04,AVGO,"Symantec Will Transfer Co. Brand To Broadcom, Change Its Name To NortonLifeLock, Will trade On Nasdaq Under Ticker 'NLOK'",25.88,26.65,2.9639,up,up,0.3675,,
FNSPID_00664,2019-10-25,AVGO,Broadcom shares are traidng higher in sympathy with Intel after the company reported better-than-expected Q3 EPS and sales results.,24.59,24.74,0.5969,neutral,up,0.3866,,
FNSPID_00665,2019-10-23,AVGO,16 Stocks With The Highest Long-Term Sales Growth Rate,23.79,23.96,0.7099,neutral,up,0.4037,,
FNSPID_00666,2019-10-23,AVGO,Shares of companies in the semiconductor space are trading lower after Texas Instruments reported worse-than-expected Q3 sales and issued soft Q4 guidance.,23.79,23.96,0.7099,neutral,down,0.3629,,
FNSPID_00667,2019-10-23,AVGO,"Extreme Networks Partners With Broadcom For Solutions To Enterprise Customers, No Terms Disclosed",23.79,23.96,0.7099,neutral,neutral,0.3759,,
FNSPID_00668,2019-10-21,AVGO,Shares of companies in the semiconductor space are trading higher amid US-China trade optimism. The sector has China exposure and has been highly affected by trade tensions this year.,24.57,24.39,-0.7287,neutral,up,0.4275,,
FNSPID_00669,2019-10-17,AVGO,Huawei Reshuffles US-Linked Executives Amidst Reported Increase in Sales,24.56,24.33,-0.9329,neutral,up,0.4064,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Huawei Reshuffles US-Linked Executives Amidst Reported Increase in Sales"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00670,2019-10-16,AVGO,"'The EU's powerful anti-trust authority on Wednesday ordered US chipmaker Broadcom to immediately halt uncompetitive sales practices, using an unprecedented weapon against US big tech.' -France's RFI",24.48,24.56,0.3293,neutral,up,0.3519,,
FNSPID_00671,2019-10-16,AVGO,EU Antitrust Head Vestager to Hold News Conference Expected to Focus on Broadcom,24.48,24.56,0.3293,neutral,up,0.3757,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""EU Antitrust Head Vestager to Hold News Conference Expected to Focus on Broadcom"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00672,2019-10-15,AVGO,"Broadcom, SmileDirectClub And More 'Fast Money Halftime Report' Picks From October 15",24.64,24.48,-0.6338,neutral,neutral,0.3988,,
FNSPID_00673,2019-10-15,AVGO,"Shares of several semiconductor companies are trading higher in sympathy with the overall market after multiple companies reported earnings that topped expectations, bringing the whole market higher on positive sentiment.",24.64,24.48,-0.6338,neutral,up,0.4082,,
FNSPID_00674,2019-10-11,AVGO,Shares of several semiconductor companies are trading higher after President Trump made positive remarks on the U.S.-China trade talks. Trump is scheduled to meet with Chinese Vice Premier Liu He at the White House today.,23.84,23.9,0.267,neutral,up,0.3656,,
FNSPID_00675,2019-10-10,AVGO,Shares of many semiconductors are trading higher on renewed trade optimism after the US was considering suspending tariff increase in exchange for a currency pact. President Trump's administration also plans to allow the sale of some supplies to Huawei.,23.29,23.84,2.3538,up,up,0.4049,,
FNSPID_00676,2019-10-09,AVGO,Shares of several semiconductor companies are trading higher after multiple reports suggesting China is open to a partial trade deal surfaced. The reports renewed optimism in the upcoming U.S.-China trade talks.,23.18,23.29,0.4759,neutral,up,0.4016,,
FNSPID_00677,2019-10-08,AVGO,"Shares of several semiconductor companies are trading lower as optimism around the upcoming U.S.-China trade talks waned. A report says China is toning down its expectations of the meeting. The U.S. expanded its trade blacklist, and scheduled an increase in tariffs on $250 billion worth of Chinese goods from 25% to 30% on Oct. 15, which will go into effect if no progress is made.",22.94,23.18,1.0431,up,up,0.3805,,
FNSPID_00678,2019-10-04,AVGO,"Broadcom, Trex And More 'Fast Money Halftime Report' Picks From October 4",23.88,23.43,-1.901,down,up,0.3572,,
FNSPID_00679,2019-10-04,AVGO,"UPDATE: EU Antitrust Order Will Mean Broadcom Will Have To Scrap Exclusivity Clauses With TV, Modem Makers While EU Probe Continues",23.88,23.43,-1.901,down,up,0.382,,
FNSPID_00680,2019-10-04,AVGO,"Hearing EU Antitrust Regulator Will, In Oct., Give Broadcom Interim Order To Stop Anti-Competitive Practices",23.88,23.43,-1.901,down,neutral,0.3783,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Hearing EU Antitrust Regulator Will, In Oct., Give Broadcom Interim Order To Stop Anti-Competitive Practices"" reads as a neutral signal for the stock, which is consistent with little or no next-day move.",
FNSPID_00681,2019-10-03,AVGO,Shares of many semiconductor companies are trading higher as investors are optimistic of a trade deal with China that could be reached after President Trump said a Chinese delegation is set to come to the U.S. next week for continued trade talks.,23.29,23.88,2.5507,up,up,0.3896,,
FNSPID_00682,2019-10-02,AVGO,Shares of several semiconductor companies are trading lower in sympathy with the overall market on continued fears of a recession amid a weak ADP jobs report. There is also uncertainty in the market over the upcoming U.S.-China meeting next week.,22.92,23.29,1.6144,up,down,0.3657,,
FNSPID_00683,2019-09-25,AVGO,34 Stocks Moving In Wednesday's Mid-Day Session,23.4,23.5,0.4134,neutral,up,0.4452,,
FNSPID_00684,2019-09-25,AVGO,Broadcom Trades Lower On $3B Debt Offering,23.4,23.5,0.4134,neutral,up,0.3677,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Broadcom Trades Lower On $3B Debt Offering"" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00685,2019-09-25,AVGO,19 Technology Stocks Moving In Wednesday's Pre-Market Session,23.4,23.5,0.4134,neutral,up,0.4242,,
FNSPID_00686,2019-09-25,AVGO,24 Stocks Moving in Wednesday's Pre-Market Session,23.4,23.5,0.4134,neutral,up,0.4439,,
FNSPID_00687,2019-09-25,AVGO,Broadcom shares are trading lower following news of a $3 billion series A mandatory convertible preferred stock offering.,23.4,23.5,0.4134,neutral,up,0.383,,
FNSPID_00688,2019-09-24,AVGO,Broadcom shares are trading lower following news of a $3 billion series A mandatory convertible preferred stock offering.,23.96,23.4,-2.3166,down,up,0.383,"[PLACEHOLDER - Ollama unavailable, not a real model explanation] The headline ""Broadcom shares are trading lower following news of a $3 billion series A mandatory convertible preferred stock offering."" reads as a up signal for the stock, which is consistent with an upward next-day move.",
FNSPID_00689,2019-09-24,AVGO,Broadcom Shares Fall After Hours Following News Of A $3B Series A Mandatory Convertible Preferred Stock Offering,23.96,23.4,-2.3166,down,up,0.3693,,
FNSPID_00690,2019-09-23,AVGO,Broadcom Delivers Industry's First Dual 400G MACSec PHY for Hyper-scale Data Center and Cloud Infrastructure,24.22,23.96,-1.1035,down,neutral,0.383,,
FNSPID_00691,2019-09-13,AVGO,"Broadcom Falls, But Analysts Optimistic Chip Demand Has Bottomed And Acquisitions Will Help",24.41,24.27,-0.5718,neutral,up,0.3606,,
